date,ticker,source,text
2026-06-18,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",Listrik Indonesia,"IHSG Hari Ini Anjlok, Bagaimana Nasib Saham Energi? - Listrik Indonesia"
2026-06-23,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",CNBC Indonesia,"Menunggu Pengumuman MSCI, IHSG Dibuka Turun 0,3% - CNBC Indonesia"
2026-06-22,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",CNBC Indonesia,"IHSG Terkoreksi 0,98% di Awal Pekan, 445 Saham Merah - CNBC Indonesia"
2026-06-24,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",Bisnis.com,"Didorong Sentimen MSCI, IHSG Dibuka Hijau Saham BBCA & MORA Cs Melesat - Bisnis.com"
2026-06-22,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",merahputih.com,"IHSG Hari Ini Anjlok 1,25 Jelang Pengumuman MSCI Review - merahputih.com"
2026-05-19,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",IDNFinancials.com,Peluang IHSG rebound jelang keputusan BI Rate - IDNFinancials.com
2026-06-24,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",Media Indonesia,IHSG Hari Ini 24 Juni 2026: Dibuka Menguat ke 6.112 - Media Indonesia
2026-04-17,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",maybanktrade.co.id,OJK Temui MSCI? IHSG Hari ini & Prospek Saham Pilihan - maybanktrade.co.id
2026-06-11,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",Listrik Indonesia,"IHSG Hari Ini Kembali Menguat, Saham Energi Ikut Terdongkrak - Listrik Indonesia"
2026-04-09,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",maybanktrade.co.id,IHSG Hari Ini: Dampak MSCI & FTSE serta Prospek WIFI - maybanktrade.co.id
2026-05-22,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",Ajaib,"IHSG Jatuh 2% ke Bawah Level 6.000, Ini Faktor Penyebabnya! - Ajaib"
2026-03-10,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",Ajaib,"IHSG Hari Ini Menguat, Ini Penyebabnya dan Deretan Saham yang Melejit - Ajaib"
2026-03-31,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",Ajaib,Apa Penyebab IHSG Turun Hari Ini! Simak Faktor Utamanya! - Ajaib
2026-03-25,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",Ajaib,"IHSG Hari Ini Ditutup Menguat 2,75% ke 7.302, Rebound dari Zona Merah - Ajaib"
2026-03-17,"SAHAM IHSG HARI INI,SENTIMEN PASAR IHSG HARI INI",Ajaib,"IHSG Menguat Jelang Libur Panjang, Momentum Akumulasi atau Waspada Koreksi? - Ajaib"
2026-07-03,IHSG,CNBC Indonesia,Ini Penyebab IHSG Tiba-Tiba Lompat 2% Lebih - CNBC Indonesia
2026-06-29,IHSG,maybanktrade.co.id,IHSG Hari Ini: 7 Insight Penting yang Wajib Kamu Tahu - maybanktrade.co.id
